# LDEX data
# LT[hr], n0[m^{-3}], n0+sigma[m^{-3}],n0-sigma[m^{-3}], Date
0.19 1.516 1.638 1.394 Nov_2013
0.56 1.16 1.261 1.059 Nov_2013
0.94 1.123 1.22 1.026 Nov_2013
1.31 1.585 1.702 1.468 Nov_2013
1.69 2.052 2.184 1.92 Nov_2013
2.06 1.938 2.067 1.809 Nov_2013
2.44 2.528 2.671 2.385 Nov_2013
2.81 2.79 2.937 2.643 Nov_2013
3.19 2.909 3.055 2.763 Nov_2013
3.56 3.138 3.289 2.987 Nov_2013
3.94 3.325 3.48 3.17 Nov_2013
4.31 3.096 3.243 2.949 Nov_2013
4.69 3.919 4.082 3.756 Nov_2013
5.06 3.769 3.925 3.613 Nov_2013
5.44 5.015 5.194 4.836 Nov_2013
5.81 4.209 4.371 4.047 Nov_2013
6.19 4.322 4.486 4.158 Nov_2013
6.56 4.655 4.824 4.486 Nov_2013
6.94 4.231 4.391 4.071 Nov_2013
7.31 4.756 4.928 4.584 Nov_2013
7.69 5.002 5.18 4.824 Nov_2013
8.06 4.599 4.772 4.426 Nov_2013
8.44 4.36 4.531 4.189 Nov_2013
8.81 3.934 4.099 3.769 Nov_2013
9.19 3.939 4.107 3.771 Nov_2013
9.56 3.54 3.703 3.377 Nov_2013
9.94 3.453 3.619 3.287 Nov_2013
10.31 3.14 3.302 2.978 Nov_2013
10.69 2.871 3.047 2.695 Nov_2013
11.06 2.645 3.235 2.055 Nov_2013
19.69 0.347 0.511 0.183 Nov_2013
20.06 0.454 0.54 0.368 Nov_2013
20.44 0.493 0.565 0.421 Nov_2013
20.81 0.705 0.788 0.622 Nov_2013
21.19 0.637 0.715 0.559 Nov_2013
21.56 0.594 0.67 0.518 Nov_2013
21.94 0.787 0.873 0.701 Nov_2013
22.31 0.834 0.923 0.745 Nov_2013
22.69 0.522 0.592 0.452 Nov_2013
23.06 0.77 0.858 0.682 Nov_2013
23.44 0.896 0.995 0.797 Nov_2013
23.81 1.169 1.281 1.057 Nov_2013
0.19 0.969 1.036 0.902 Dec_2013
0.56 1.274 1.348 1.2 Dec_2013
0.94 1.289 1.363 1.215 Dec_2013
1.31 1.784 1.87 1.698 Dec_2013
1.69 1.555 1.636 1.474 Dec_2013
2.06 2.004 2.097 1.911 Dec_2013
2.44 2.256 2.353 2.159 Dec_2013
2.81 3.03 3.141 2.919 Dec_2013
3.19 2.849 2.955 2.743 Dec_2013
3.56 3.128 3.24 3.016 Dec_2013
3.94 3.903 4.027 3.779 Dec_2013
4.31 3.676 3.795 3.557 Dec_2013
4.69 3.527 3.643 3.411 Dec_2013
5.06 4.011 4.135 3.887 Dec_2013
5.44 4.021 4.145 3.897 Dec_2013
5.81 4.119 4.245 3.993 Dec_2013
6.19 4.232 4.358 4.106 Dec_2013
6.56 4.663 4.795 4.531 Dec_2013
6.94 4.523 4.652 4.394 Dec_2013
7.31 4.306 4.432 4.18 Dec_2013
7.69 4.409 4.537 4.281 Dec_2013
8.06 4.942 5.076 4.808 Dec_2013
8.44 4.419 4.546 4.292 Dec_2013
8.81 4.265 4.391 4.139 Dec_2013
9.19 3.356 3.468 3.244 Dec_2013
9.56 3.201 3.313 3.089 Dec_2013
9.94 3.086 3.197 2.975 Dec_2013
10.31 2.555 2.658 2.452 Dec_2013
10.69 2.088 2.203 1.973 Dec_2013
11.06 1.691 2.048 1.334 Dec_2013
19.69 0.418 0.473 0.363 Dec_2013
20.06 0.689 0.741 0.637 Dec_2013
20.44 0.507 0.552 0.462 Dec_2013
20.81 0.492 0.536 0.448 Dec_2013
21.19 0.535 0.581 0.489 Dec_2013
21.56 0.644 0.695 0.593 Dec_2013
21.94 0.57 0.618 0.522 Dec_2013
22.31 0.772 0.828 0.716 Dec_2013
22.69 0.478 0.523 0.433 Dec_2013
23.06 0.733 0.793 0.673 Dec_2013
23.44 0.89 0.96 0.82 Dec_2013
23.81 0.875 0.945 0.805 Dec_2013
0.19 1.053 1.123 0.983 Jan_2014
0.56 1.136 1.205 1.067 Jan_2014
0.94 1.388 1.464 1.312 Jan_2014
1.31 1.595 1.675 1.515 Jan_2014
1.69 1.706 1.79 1.622 Jan_2014
2.06 1.71 1.793 1.627 Jan_2014
2.44 2.247 2.342 2.152 Jan_2014
2.81 2.191 2.284 2.098 Jan_2014
3.19 2.804 2.909 2.699 Jan_2014
3.56 2.695 2.798 2.592 Jan_2014
3.94 3.54 3.657 3.423 Jan_2014
4.31 3.287 3.399 3.175 Jan_2014
4.69 3.395 3.513 3.277 Jan_2014
5.06 3.665 3.792 3.538 Jan_2014
5.44 4.017 4.147 3.887 Jan_2014
5.81 4.279 4.408 4.15 Jan_2014
6.19 4.5 4.629 4.371 Jan_2014
6.56 4.556 4.683 4.429 Jan_2014
6.94 4.783 4.912 4.654 Jan_2014
7.31 4.335 4.457 4.213 Jan_2014
7.69 4.463 4.586 4.34 Jan_2014
8.06 4.378 4.5 4.256 Jan_2014
8.44 4.971 5.11 4.832 Jan_2014
8.81 4.172 4.298 4.046 Jan_2014
9.19 3.978 4.099 3.857 Jan_2014
9.56 3.676 3.793 3.559 Jan_2014
9.94 3.289 3.402 3.176 Jan_2014
10.31 2.982 3.091 2.873 Jan_2014
10.69 2.836 2.963 2.709 Jan_2014
11.06 2.638 2.95 2.326 Jan_2014
19.69 0.453 0.516 0.39 Jan_2014
20.06 0.55 0.596 0.504 Jan_2014
20.44 0.562 0.608 0.516 Jan_2014
20.81 0.475 0.518 0.432 Jan_2014
21.19 0.545 0.591 0.499 Jan_2014
21.56 0.612 0.662 0.562 Jan_2014
21.94 0.584 0.632 0.536 Jan_2014
22.31 0.633 0.683 0.583 Jan_2014
22.69 0.635 0.686 0.584 Jan_2014
23.06 0.602 0.652 0.552 Jan_2014
23.44 0.598 0.648 0.548 Jan_2014
23.81 0.644 0.705 0.583 Jan_2014
0.19 0.888 0.955 0.821 Feb_2014
0.56 1.147 1.218 1.076 Feb_2014
0.94 1.249 1.323 1.175 Feb_2014
1.31 1.275 1.349 1.201 Feb_2014
1.69 1.704 1.79 1.618 Feb_2014
2.06 1.859 1.95 1.768 Feb_2014
2.44 1.993 2.086 1.9 Feb_2014
2.81 2.538 2.643 2.433 Feb_2014
3.19 2.825 2.936 2.714 Feb_2014
3.56 2.986 3.099 2.873 Feb_2014
3.94 3.228 3.345 3.111 Feb_2014
4.31 3.205 3.321 3.089 Feb_2014
4.69 3.345 3.464 3.226 Feb_2014
5.06 3.694 3.822 3.566 Feb_2014
5.44 3.554 3.678 3.43 Feb_2014
5.81 3.868 3.996 3.74 Feb_2014
6.19 4.555 4.69 4.42 Feb_2014
6.56 4.294 4.423 4.165 Feb_2014
6.94 4.341 4.469 4.213 Feb_2014
7.31 4.4 4.529 4.271 Feb_2014
7.69 4.217 4.342 4.092 Feb_2014
8.06 3.93 4.051 3.809 Feb_2014
8.44 4.265 4.402 4.128 Feb_2014
8.81 4.049 4.178 3.92 Feb_2014
9.19 4.282 4.41 4.154 Feb_2014
9.56 3.343 3.457 3.229 Feb_2014
9.94 2.938 3.046 2.83 Feb_2014
10.31 2.673 2.778 2.568 Feb_2014
10.69 2.556 2.676 2.436 Feb_2014
11.06 2.022 2.324 1.72 Feb_2014
19.69 0.577 0.655 0.499 Feb_2014
20.06 0.45 0.493 0.407 Feb_2014
20.44 0.426 0.467 0.385 Feb_2014
20.81 0.502 0.547 0.457 Feb_2014
21.19 0.416 0.457 0.375 Feb_2014
21.56 0.525 0.572 0.478 Feb_2014
21.94 0.537 0.585 0.489 Feb_2014
22.31 0.551 0.6 0.502 Feb_2014
22.69 0.695 0.75 0.64 Feb_2014
23.06 0.592 0.643 0.541 Feb_2014
23.44 0.714 0.77 0.658 Feb_2014
23.81 0.695 0.753 0.637 Feb_2014
0.19 0.955 1.02 0.89 Mar_2014
0.56 1.216 1.286 1.146 Mar_2014
0.94 1.375 1.449 1.301 Mar_2014
1.31 1.476 1.553 1.399 Mar_2014
1.69 1.837 1.924 1.75 Mar_2014
2.06 2.021 2.114 1.928 Mar_2014
2.44 2.231 2.329 2.133 Mar_2014
2.81 2.636 2.742 2.53 Mar_2014
3.19 2.921 3.033 2.809 Mar_2014
3.56 3.255 3.374 3.136 Mar_2014
3.94 3.016 3.131 2.901 Mar_2014
4.31 3.334 3.454 3.214 Mar_2014
4.69 3.477 3.601 3.353 Mar_2014
5.06 3.66 3.791 3.529 Mar_2014
5.44 3.756 3.888 3.624 Mar_2014
5.81 3.749 3.877 3.621 Mar_2014
6.19 4.065 4.195 3.935 Mar_2014
6.56 3.869 3.994 3.744 Mar_2014
6.94 3.978 4.104 3.852 Mar_2014
7.31 3.827 3.951 3.703 Mar_2014
7.69 3.97 4.094 3.846 Mar_2014
8.06 3.972 4.095 3.849 Mar_2014
8.44 3.942 4.073 3.811 Mar_2014
8.81 3.753 3.879 3.627 Mar_2014
9.19 4.146 4.273 4.019 Mar_2014
9.56 3.069 3.178 2.96 Mar_2014
9.94 3.109 3.22 2.998 Mar_2014
10.31 2.534 2.635 2.433 Mar_2014
10.69 2.177 2.283 2.071 Mar_2014
11.06 2.411 2.748 2.074 Mar_2014
19.69 0.39 0.448 0.332 Mar_2014
20.06 0.466 0.509 0.423 Mar_2014
20.44 0.482 0.525 0.439 Mar_2014
20.81 0.538 0.583 0.493 Mar_2014
21.19 0.561 0.606 0.516 Mar_2014
21.56 0.547 0.593 0.501 Mar_2014
21.94 0.56 0.607 0.513 Mar_2014
22.31 0.587 0.635 0.539 Mar_2014
22.69 0.584 0.632 0.536 Mar_2014
23.06 0.529 0.575 0.483 Mar_2014
23.44 0.725 0.778 0.672 Mar_2014
23.81 0.865 0.926 0.804 Mar_2014
0.19 0.977 1.042 0.912 Apr_2014
0.56 1.215 1.286 1.144 Apr_2014
0.94 1.453 1.53 1.376 Apr_2014
1.31 1.611 1.692 1.53 Apr_2014
1.69 1.845 1.932 1.758 Apr_2014
2.06 2.005 2.097 1.913 Apr_2014
2.44 2.675 2.782 2.568 Apr_2014
2.81 2.719 2.828 2.61 Apr_2014
3.19 2.789 2.901 2.677 Apr_2014
3.56 3.282 3.405 3.159 Apr_2014
3.94 3.455 3.583 3.327 Apr_2014
4.31 3.377 3.502 3.252 Apr_2014
4.69 3.698 3.829 3.567 Apr_2014
5.06 3.979 4.115 3.843 Apr_2014
5.44 3.946 4.08 3.812 Apr_2014
5.81 4.081 4.215 3.947 Apr_2014
6.19 4.427 4.565 4.289 Apr_2014
6.56 3.928 4.06 3.796 Apr_2014
6.94 4.01 4.142 3.878 Apr_2014
7.31 3.904 4.034 3.774 Apr_2014
7.69 3.97 4.099 3.841 Apr_2014
8.06 3.747 3.869 3.625 Apr_2014
8.44 4.21 4.343 4.077 Apr_2014
8.81 3.685 3.805 3.565 Apr_2014
9.19 3.438 3.551 3.325 Apr_2014
9.56 3.562 3.678 3.446 Apr_2014
9.94 2.581 2.68 2.482 Apr_2014
10.31 2.38 2.476 2.284 Apr_2014
10.69 2.189 2.287 2.091 Apr_2014
11.06 2.156 2.412 1.9 Apr_2014
19.69 0.483 0.543 0.423 Apr_2014
20.06 0.454 0.497 0.411 Apr_2014
20.44 0.435 0.477 0.393 Apr_2014
20.81 0.506 0.551 0.461 Apr_2014
21.19 0.55 0.597 0.503 Apr_2014
21.56 0.469 0.513 0.425 Apr_2014
21.94 0.557 0.605 0.509 Apr_2014
22.31 0.675 0.727 0.623 Apr_2014
22.69 0.653 0.704 0.602 Apr_2014
23.06 0.672 0.724 0.62 Apr_2014
23.44 0.727 0.782 0.672 Apr_2014
23.81 0.846 0.906 0.786 Apr_2014

# Meteoroid model
# LT[hr], Fit to n0 [m^{-3}], Date
0.1875 0.984793 Nov_2013
0.5625 1.10905 Nov_2013
0.9375 1.23406 Nov_2013
1.3125 1.39993 Nov_2013
1.6875 1.58859 Nov_2013
2.0625 1.78885 Nov_2013
2.4375 2.0025 Nov_2013
2.8125 2.27075 Nov_2013
3.1875 2.56821 Nov_2013
3.5625 2.85727 Nov_2013
3.9375 3.15468 Nov_2013
4.3125 3.45679 Nov_2013
4.6875 3.75222 Nov_2013
5.0625 3.99171 Nov_2013
5.4375 4.18129 Nov_2013
5.8125 4.32915 Nov_2013
6.1875 4.39671 Nov_2013
6.5625 4.39655 Nov_2013
6.9375 4.31653 Nov_2013
7.3125 4.15482 Nov_2013
7.6875 3.92366 Nov_2013
8.0625 3.66991 Nov_2013
8.4375 3.38086 Nov_2013
8.8125 3.05353 Nov_2013
9.1875 2.72252 Nov_2013
9.5625 2.42455 Nov_2013
9.9375 2.16856 Nov_2013
10.3125 1.90406 Nov_2013
10.6875 1.66307 Nov_2013
11.0625 1.47144 Nov_2013
11.4375 1.30584 Nov_2013
11.8125 1.13421 Nov_2013
12.1875 0.977396 Nov_2013
12.5625 0.84361 Nov_2013
12.9375 0.720067 Nov_2013
13.3125 0.595705 Nov_2013
13.6875 0.478848 Nov_2013
14.0625 0.38303 Nov_2013
14.4375 0.299797 Nov_2013
14.8125 0.223723 Nov_2013
15.1875 0.161943 Nov_2013
15.5625 0.117454 Nov_2013
15.9375 0.0851199 Nov_2013
16.3125 0.0600991 Nov_2013
16.6875 0.0429843 Nov_2013
17.0625 0.0328415 Nov_2013
17.4375 0.0268714 Nov_2013
17.8125 0.0236162 Nov_2013
18.1875 0.0230361 Nov_2013
18.5625 0.0252842 Nov_2013
18.9375 0.0291856 Nov_2013
19.3125 0.0385768 Nov_2013
19.6875 0.0540791 Nov_2013
20.0625 0.0753838 Nov_2013
20.4375 0.104343 Nov_2013
20.8125 0.149238 Nov_2013
21.1875 0.209128 Nov_2013
21.5625 0.275208 Nov_2013
21.9375 0.350647 Nov_2013
22.3125 0.44383 Nov_2013
22.6875 0.547111 Nov_2013
23.0625 0.647298 Nov_2013
23.4375 0.746462 Nov_2013
23.8125 0.861894 Nov_2013
0.1875 1.05168  Dec_2013
0.5625 1.17669  Dec_2013
0.9375 1.30756  Dec_2013
1.3125 1.47311  Dec_2013
1.6875 1.66654  Dec_2013
2.0625 1.86628  Dec_2013
2.4375 2.08618  Dec_2013
2.8125 2.35083  Dec_2013
3.1875 2.65035  Dec_2013
3.5625 2.93361  Dec_2013
3.9375 3.20987  Dec_2013
4.3125 3.52098  Dec_2013
4.6875 3.81296  Dec_2013
5.0625 4.05001  Dec_2013
5.4375 4.22452  Dec_2013
5.8125 4.3703  Dec_2013
6.1875 4.44191  Dec_2013
6.5625 4.44194  Dec_2013
6.9375 4.35562  Dec_2013
7.3125 4.2041  Dec_2013
7.6875 3.97185  Dec_2013
8.0625 3.70663  Dec_2013
8.4375 3.4312  Dec_2013
8.8125 3.09808  Dec_2013
9.1875 2.75615  Dec_2013
9.5625 2.45522  Dec_2013
9.9375 2.18798  Dec_2013
10.3125 1.91888  Dec_2013
10.6875 1.67221  Dec_2013
11.0625 1.47416  Dec_2013
11.4375 1.30619  Dec_2013
11.8125 1.13216  Dec_2013
12.1875 0.97046  Dec_2013
12.5625 0.834764  Dec_2013
12.9375 0.712282  Dec_2013
13.3125 0.58552  Dec_2013
13.6875 0.467246  Dec_2013
14.0625 0.370606  Dec_2013
14.4375 0.291417  Dec_2013
14.8125 0.216433  Dec_2013
15.1875 0.15511  Dec_2013
15.5625 0.112509  Dec_2013
15.9375 0.0811824  Dec_2013
16.3125 0.0578987  Dec_2013
16.6875 0.0415566  Dec_2013
17.0625 0.0321241  Dec_2013
17.4375 0.026596  Dec_2013
17.8125 0.023593  Dec_2013
18.1875 0.0233019  Dec_2013
18.5625 0.025719  Dec_2013
18.9375 0.0302286  Dec_2013
19.3125 0.0402792  Dec_2013
19.6875 0.0569483  Dec_2013
20.0625 0.0800502  Dec_2013
20.4375 0.110921  Dec_2013
20.8125 0.159551  Dec_2013
21.1875 0.224443  Dec_2013
21.5625 0.297619  Dec_2013
21.9375 0.376523  Dec_2013
22.3125 0.477454  Dec_2013
22.6875 0.588868  Dec_2013
23.0625 0.693627  Dec_2013
23.4375 0.79905  Dec_2013
23.8125 0.921822  Dec_2013
0.1875 1.12255  Jan_2014
0.5625 1.25224  Jan_2014
0.9375 1.39144  Jan_2014
1.3125 1.55017  Jan_2014
1.6875 1.73832  Jan_2014
2.0625 1.94165  Jan_2014
2.4375 2.16101  Jan_2014
2.8125 2.4154  Jan_2014
3.1875 2.69891  Jan_2014
3.5625 2.97837  Jan_2014
3.9375 3.25156  Jan_2014
4.3125 3.53301  Jan_2014
4.6875 3.80166  Jan_2014
5.0625 4.0143  Jan_2014
5.4375 4.19597  Jan_2014
5.8125 4.32138  Jan_2014
6.1875 4.38588  Jan_2014
6.5625 4.3716  Jan_2014
6.9375 4.29882  Jan_2014
7.3125 4.15369  Jan_2014
7.6875 3.93072  Jan_2014
8.0625 3.66811  Jan_2014
8.4375 3.39234  Jan_2014
8.8125 3.06871  Jan_2014
9.1875 2.73155  Jan_2014
9.5625 2.42354  Jan_2014
9.9375 2.15601  Jan_2014
10.3125 1.89203  Jan_2014
10.6875 1.64658  Jan_2014
11.0625 1.44123  Jan_2014
11.4375 1.27079  Jan_2014
11.8125 1.10463  Jan_2014
12.1875 0.942279  Jan_2014
12.5625 0.805661  Jan_2014
12.9375 0.681737  Jan_2014
13.3125 0.561829  Jan_2014
13.6875 0.445163  Jan_2014
14.0625 0.352792  Jan_2014
14.4375 0.274474  Jan_2014
14.8125 0.203235  Jan_2014
15.1875 0.14591  Jan_2014
15.5625 0.104583  Jan_2014
15.9375 0.0761823  Jan_2014
16.3125 0.0544795  Jan_2014
16.6875 0.0396474  Jan_2014
17.0625 0.0309777  Jan_2014
17.4375 0.0259  Jan_2014
17.8125 0.02352  Jan_2014
18.1875 0.0235736  Jan_2014
18.5625 0.0261214  Jan_2014
18.9375 0.0320932  Jan_2014
19.3125 0.042258  Jan_2014
19.6875 0.0600871  Jan_2014
20.0625 0.0851356  Jan_2014
20.4375 0.12018  Jan_2014
20.8125 0.171675  Jan_2014
21.1875 0.241569  Jan_2014
21.5625 0.323827  Jan_2014
21.9375 0.410885  Jan_2014
22.3125 0.51496  Jan_2014
22.6875 0.636176  Jan_2014
23.0625 0.755413  Jan_2014
23.4375 0.861342  Jan_2014
23.8125 0.991424  Jan_2014
0.1875 1.17402  Feb_2014
0.5625 1.30972  Feb_2014
0.9375 1.44263  Feb_2014
1.3125 1.60455  Feb_2014
1.6875 1.79289  Feb_2014
2.0625 1.98549  Feb_2014
2.4375 2.18847  Feb_2014
2.8125 2.43168  Feb_2014
3.1875 2.69712  Feb_2014
3.5625 2.95651  Feb_2014
3.9375 3.20481  Feb_2014
4.3125 3.46083  Feb_2014
4.6875 3.70676  Feb_2014
5.0625 3.90926  Feb_2014
5.4375 4.04354  Feb_2014
5.8125 4.16426  Feb_2014
6.1875 4.21648  Feb_2014
6.5625 4.20927  Feb_2014
6.9375 4.12715  Feb_2014
7.3125 3.98985  Feb_2014
7.6875 3.77829  Feb_2014
8.0625 3.53903  Feb_2014
8.4375 3.27881  Feb_2014
8.8125 2.9722  Feb_2014
9.1875 2.64953  Feb_2014
9.5625 2.35975  Feb_2014
9.9375 2.1062  Feb_2014
10.3125 1.84485  Feb_2014
10.6875 1.60227  Feb_2014
11.0625 1.40615  Feb_2014
11.4375 1.23506  Feb_2014
11.8125 1.06961  Feb_2014
12.1875 0.910313  Feb_2014
12.5625 0.776128  Feb_2014
12.9375 0.656681  Feb_2014
13.3125 0.535004  Feb_2014
13.6875 0.422467  Feb_2014
14.0625 0.330627  Feb_2014
14.4375 0.256883  Feb_2014
14.8125 0.189388  Feb_2014
15.1875 0.134974  Feb_2014
15.5625 0.0964887  Feb_2014
15.9375 0.0701252  Feb_2014
16.3125 0.0502172  Feb_2014
16.6875 0.0365914  Feb_2014
17.0625 0.0285747  Feb_2014
17.4375 0.0245704  Feb_2014
17.8125 0.022346  Feb_2014
18.1875 0.0226861  Feb_2014
18.5625 0.0255264  Feb_2014
18.9375 0.0310423  Feb_2014
19.3125 0.0419903  Feb_2014
19.6875 0.0603531  Feb_2014
20.0625 0.0859108  Feb_2014
20.4375 0.121836  Feb_2014
20.8125 0.176057  Feb_2014
21.1875 0.249592  Feb_2014
21.5625 0.333472  Feb_2014
21.9375 0.423896  Feb_2014
22.3125 0.539597  Feb_2014
22.6875 0.666259  Feb_2014
23.0625 0.788036  Feb_2014
23.4375 0.905104  Feb_2014
23.8125 1.03641  Feb_2014
0.1875 1.20074  Mar_2014
0.5625 1.33013  Mar_2014
0.9375 1.45695  Mar_2014
1.3125 1.6155  Mar_2014
1.6875 1.79545  Mar_2014
2.0625 1.9773  Mar_2014
2.4375 2.16453  Mar_2014
2.8125 2.39747  Mar_2014
3.1875 2.64775  Mar_2014
3.5625 2.87669  Mar_2014
3.9375 3.10991  Mar_2014
