# Figure 5 - orbital element distributions
#Semimajor Max flux   Preferred   Min flux   Mass flux  Eccentri-   Max flux   Preferred   Min flux   Mass flux Inclination Max flux   Preferred   Min flux   Mass flux   Impact    Max flux   Preferred   Min flux   Mass flux
#   axis    at Moon   solution    at Moon    at Earth     city       at Moon   solution    at Moon    at Earth               at Moon   solution    at Moon    at Earth    velocity   at Moon   solution    at Moon    at Earth
#   (au)   (kg day-1) (kg day-1) (kg day-1) (kg day-1)             (kg day-1) (kg day-1) (kg day-1) (kg day-1)   (degree)  (kg day-1) (kg day-1) (kg day-1) (kg day-1)   (km s-1)  (kg day-1) (kg day-1) (kg day-1) (kg day-1)
1.2500E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 	2.5000E-03 9.3594E-01 9.0286E-01 8.2558E-01 1.0750E+02	4.5000E-01 9.1917E+01 8.3341E+01 8.0022E+01 6.0320E+03	5.0000E-01 9.8134E-02 5.6462E-02 4.0273E-02 8.4351E-01	
3.7500E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00	7.5000E-03 2.2141E+00 1.8832E+00 1.5189E+00 3.2472E+02	1.3500E+00 8.6567E+01 7.5976E+01 7.2427E+01 4.0268E+03	1.5000E+00 9.8573E-02 5.6918E-02 4.0810E-02 8.5023E-01	
6.2500E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00	1.2500E-02 3.0144E+00 2.8166E+00 2.4194E+00 5.0708E+02	2.2500E+00 7.9849E+01 6.9689E+01 6.6478E+01 3.1379E+03	2.5000E+00 8.7912E+00 8.3052E+00 5.5091E+00 8.3450E-01	
8.7500E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00	1.7500E-02 3.9917E+00 3.8675E+00 3.0661E+00 8.3081E+02	3.1500E+00 7.5096E+01 6.5771E+01 6.2753E+01 2.8888E+03	3.5000E+00 3.8911E+01 3.1256E+01 2.2406E+01 8.2999E-01	
1.1250E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00	2.2500E-02 4.7073E+00 4.3756E+00 3.3425E+00 8.3990E+02	4.0500E+00 7.0377E+01 6.2171E+01 5.9016E+01 2.5915E+03	4.5000E+00 4.8215E+01 4.0035E+01 3.1316E+01 8.3413E-01	
1.3750E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00	2.7500E-02 5.5375E+00 4.9215E+00 3.7645E+00 7.9775E+02	4.9500E+00 6.5480E+01 5.7851E+01 5.4675E+01 2.2957E+03	5.5000E+00 5.7733E+01 5.1517E+01 4.2922E+01 8.3174E-01	
1.6250E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00	3.2500E-02 5.4682E+00 4.8229E+00 3.9065E+00 5.6572E+02	5.8500E+00 6.1248E+01 5.3471E+01 4.9779E+01 2.0106E+03	6.5000E+00 6.3308E+01 5.9354E+01 5.1750E+01 8.2046E-01	
1.8750E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00	3.7500E-02 5.1414E+00 4.3505E+00 3.5425E+00 4.1068E+02	6.7500E+00 5.7887E+01 4.9841E+01 4.5939E+01 1.7725E+03	7.5000E+00 6.9089E+01 6.3188E+01 5.7929E+01 8.0960E-01	
2.1250E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00	4.2500E-02 5.3750E+00 4.6313E+00 3.8440E+00 4.0577E+02	7.6500E+00 5.3865E+01 4.6151E+01 4.2596E+01 1.5526E+03	8.5000E+00 7.3809E+01 6.4449E+01 6.1348E+01 7.9665E-01	
2.3750E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00	4.7500E-02 5.7767E+00 5.1303E+00 4.2816E+00 4.5911E+02	8.5500E+00 4.9969E+01 4.2667E+01 3.8992E+01 1.3757E+03	9.5000E+00 7.4435E+01 6.2907E+01 5.8880E+01 8.1313E-01	
