# Figure 11 - Variations of the mass flux rate in kg day −1 with time from July 1st, 2013 to June 30th, 2014 for different radiant sources - values shown for preferred solution, Fcoll=20, alpha=4.0
# Days after July 1st, Total flux, Anti-helion source, Apex source, Helion source, Anti-apex source
55.5 1427.19 390.193 445.542 492.422 98.6627
56 1425.71 387.964 439.302 497.103 101.634
56.5 1425.71 386.999 430.981 503.492 104.383
57 1427.19 385.81 425.483 508.098 107.875
57.5 1427.19 385.81 417.905 511.516 111.887
58 1427.19 385.661 410.847 515.453 115.527
58.5 1429.42 385.438 405.572 518.796 119.242
59 1430.91 386.256 400.149 521.174 123.031
59.5 1427.93 387.073 391.382 522.585 126.969
60 1427.93 387.667 384.621 523.031 132.392
60.5 1426.45 389.376 378.455 522.065 136.701
61 1428.68 390.119 375.632 522.66 140.267
61.5 1426.45 392.496 368.648 520.134 145.394
62 1428.68 395.022 364.042 518.871 150.817
62.5 1428.68 397.474 361.367 514.859 155.126
63 1427.93 400.52 356.612 509.955 161.144
63.5 1427.19 404.086 351.189 507.207 164.562
64 1427.93 407.801 348.366 503.492 168.128
64.5 1427.19 411.218 345.394 499.703 170.802
65 1427.19 416.27 343.685 493.016 173.997
65.5 1429.42 420.357 344.131 487.667 177.266
66 1427.93 425.632 342.571 481.352 178.455
66.5 1429.42 430.758 343.314 477.563 178.083
67 1431.65 434.695 344.428 471.991 180.312
67.5 1429.42 440.342 344.131 465.825 179.346
68 1430.91 446.36 345.542 458.395 180.461
68.5 1431.65 450.371 345.765 457.949 177.192
69 1431.65 452.972 345.84 452.972 180.089
69.5 1433.88 461.738 350.817 445.542 175.929
70 1432.39 469.391 352.897 440.936 169.242
70.5 1433.14 470.728 358.692 437.073 166.493
71 1432.39 474.071 361.59 432.987 163.447
71.5 1433.14 480.906 366.939 429.198 156.018
72 1434.62 484.473 373.254 426.374 150.371
72.5 1434.62 487.296 378.752 422.957 145.542
73 1434.62 487.147 389.079 420.951 137.593
73.5 1433.88 488.559 394.056 419.837 131.649
74 1433.14 490.267 400.669 417.831 124.517
74.5 1434.62 488.336 413.522 413.893 118.574
75 1435.36 483.73 422.585 413.299 115.379
75.5 1435.36 482.021 431.278 412.63 109.807
76 1436.11 476.3 439.747 414.264 106.018
76.5 1438.34 471.1 449.183 414.71 103.566
77 1436.85 465.156 454.458 417.831 99.4799
77.5 1437.59 461.293 459.658 420.579 96.2853
78 1441.31 454.309 470.208 421.991 94.948
78.5 1440.56 448.588 473.477 426.152 92.422
79 1440.56 443.314 475.186 431.055 91.4562
79.5 1442.79 438.782 480.386 437.073 86.3299
80 1443.54 432.095 483.581 440.788 87.2957
80.5 1444.28 426.523 483.061 445.84 89.0045
81 1445.77 420.877 486.107 450.966 87.5929
81.5 1445.77 415.973 483.21 459.361 87.2957
82 1445.77 411.07 480.609 466.196 87.8158
82.5 1446.51 406.909 477.563 473.031 89.0045
83 1447.99 402.823 476.077 478.9 90.3418
83.5 1447.99 398.588 471.248 486.701 91.679
84 1462.85 396.731 469.614 502.526 93.8336
84.5 1449.48 392.942 462.63 498.217 95.9138
85 1449.48 390.193 456.835 504.235 98.5141
85.5 1449.48 388.707 450.817 509.807 100.52
86 1451.71 387.593 443.388 517.459 103.418
86.5 1450.97 386.404 436.478 521.917 106.315
87 1450.22 386.033 429.718 524.443 109.881
87.5 1452.45 385.513 423.848 529.049 114.339
88 1450.97 385.067 417.088 532.392 116.716
88.5 1450.22 385.884 409.955 533.358 120.802
89 1450.22 386.627 402.823 536.033 124.814
89.5 1452.45 387.444 397.845 536.924 130.015
90 1449.48 388.782 390.416 536.627 133.952
90.5 1450.97 389.97 385.513 536.256 139.376
91 1450.22 392.645 379.718 534.101 143.462
91.5 1450.22 394.948 375.929 530.238 149.257
92 1448.74 397.325 370.059 527.637 153.863
92.5 1450.97 401.04 366.419 525.186 158.47
93 1449.48 404.755 363.373 518.648 162.556
93.5 1448.74 407.801 359.064 515.825 165.75
94 1450.22 412.184 358.544 509.138 169.985
94.5 1450.22 415.825 355.423 505.052 173.923
95 1450.22 421.917 353.195 499.331 175.854
95.5 1450.22 426.523 352.006 493.685 177.786
96 1449.48 432.392 349.703 488.707 178.826
96.5 1451.71 437.964 351.783 481.278 180.906
97 1451.71 443.759 350.371 476.672 181.055
97.5 1452.45 448.291 353.418 470.431 180.238
98 1451.71 454.829 354.383 464.487 177.712
98.5 1451.71 460.475 360.698 456.686 173.626
99 1451.71 466.196 359.361 453.789 172.214
99.5 1451.71 470.951 363.15 449.629 167.608
100 1450.97 477.637 365.75 443.908 163.67
100.5 1451.71 479.941 370.728 441.01 160.253
101 1452.45 484.77 376.895 436.999 153.418
101.5 1455.42 490.119 382.912 433.507 148.811
102 1455.42 489.376 391.456 431.129 143.388
102.5 1456.17 493.016 398.217 427.86 137.147
103 1456.91 493.314 407.578 426.895 128.9
103.5 1457.65 493.239 417.608 424.443 122.214
104 1457.65 488.856 429.495 422.585 116.939
104.5 1459.14 487.519 435.958 421.545 114.264
105 1458.4 483.135 443.462 421.62 110.03
105.5 1459.88 479.866 451.634 422.437 106.092
106 1458.4 475.483 458.098 423.18 101.709
106.5 1460.62 467.979 465.825 425.409 101.189
107 1461.37 460.847 477.563 427.192 95.6909
107.5 1462.11 458.395 477.489 432.912 93.5364
108 1463.6 455.498 481.798 436.33 89.8217
108.5 1464.34 448.217 486.701 439.45 89.8217
109 1466.57 441.01 491.976 444.354 89.0788
109.5 1468.8 429.272 511.293 440.639 87.2214
110 1468.05 430.981 495.394 453.789 87.5929
110.5 1471.03 425.929 496.508 460.104 88.5587
111 1468.8 421.768 495.617 464.19 87.2957
111.5 1468.05 416.716 492.645 471.322 87.4443
112 1471.03 412.63 491.233 478.455 88.7073
112.5 1469.54 408.544 486.627 483.952 90.1932
113 1471.03 404.903 484.993 490.936 89.9703
113.5 1469.54 402.155 479.421 496.137 92.1991
114 1471.03 399.777 475.111 501.709 94.2051
114.5 1476.23 397.92 471.248 510.253 97.1025
115 1471.03 396.062 464.19 512.704 98.2169
115.5 1473.25 393.982 460.178 517.979 100.743
116 1474 392.942 451.857 523.923 105.201
116.5 1472.51 391.605 445.691 527.563 107.949
117 1471.77 391.456 439.302 530.906 110.327
117.5 1472.51 391.753 432.987 533.581 113.967
118 1474 392.125 427.935 536.553 117.385
118.5 1471.77 393.239 418.796 538.559 121.322
119 1474 394.205 412.556 541.456 125.929
